Title, department, Detail
Faculty of Science,Physics,JOSEPHSON JUNCTIONS WITH A CONTINUALLY GRADED BARRIERA Josephson junction includes first and second electrodes  each of which is formed of superconductive material. The first electrode has a first electrode face. A barrier of the junction extends from the first electrode to the second electrode. The barrier has a first barrier face opposing and adjoining the first electrode face. The barrier is formed of non-superconductive barrier material and superconductive barrier material. A concentration of the superconductive barrier material is greater than zero at the first barrier face  whereby the first barrier face is formed at least partially of the superconductive barrier material.US Patent Number: 6 818 918REAL TIME S-PARAMETER IMAGERNew!Disclosed is a fully automated system capable of producing high quality real-time S-parameter images. It is a useful and versatile tool in Material Science and Solid State Technology for determining the location of subsurface defect types and concentrations in bulk-materials as well as thin-films. The system is also useful in locating top surface metallizations and structures in solid state devices. This imaging system operates by scanning the sample surface with either a small positron source (.sup.22Na) or a focused positron beam. The system also possesses another two major parts  namely electronic instrumentation and stand-alone imaging software. In the system  the processing time and use of system resources are constantly monitored and optimized for producing high resolution S-parameter image of the sample in real time with a general purpose personal computer. The system software possesses special features with its embedded specialized algorithms and techniques that provide the user with adequate freedom for analyzing various aspects of the image in order to obtain a clear inference of the defect profile while at the same time keeping automatic track on the instrumentation and hardware settings. The system is useful for semiconductor and metal samples  giving excellent quality images of the subsurface defect profile and has applications for biological samples.US Patent Number: 7 420 166US Patent Number: 7 781 732US Patent Number: 8 053 724METHOD FOR EPITAXIAL GROWTH OF (110)-ORIENTED SrTiO3 THIN FILMS ON SILICON WITHOUT TEMPLATEA process and structure utilizes pulsed laser deposition technique to grow SrTiO.sub.3 (STO) films with single (110) out-of-plane orientation upon a surface of all (100)  (110) and (111)-oriented silicon (Si) substrates. No designed buffer layer is needed beneath the STO thin films. The in-plane alignments for the epitaxial STO films grown directly on Si (100) are as STO [001]//Si [001] and STO [1 10]/Si [010]. The SrTiO.sub.3/Si interface is epitaxially crystallized without any amorphous oxide layer. The formation of a coincident site lattice at the interface between Si and a Sr-silicate and/or STO helps to stabilize STO in the epitaxial orientation. The invention can be applied to epitaxial template and barrier for the integration of many other functional oxide materials on silicon. In particular  the (110)-oriented STO structure is useful for practical applications such as the preparation of ferroelectric-insulator-semiconductor devices as well as providing a broad solution to the generic problem of polarity discontinuities at perovskite heterointerfaces. More >>>US Patent Number: 7 718 516,
Faculty of Science,School of Biological Sciences,HUMAN VIRUS CAUSING SEVERE ACUTE RESPIRATORY SYNDROME (SARS) AND USES THEREOFNew!The present invention relates to an isolated novel virus causing Severe Acute Respiratory Syndrome (SARS) in humans ( hSARS virus ). The hSARS virus is identified to be morphologically and phylogenetically similar to known member of Coronaviridae. The present invention provides the complete genomic sequence of the hSARS virus. Furthermore  the invention provides the nucleic acids and peptides encoded by and/or derived from the hSARS virus and their use in diagnostic methods and therapeutic methods  including vaccines. In addition  the invention provides chimeric or recombinant viruses encoded by said nucleotide sequences and antibodies immunospecific to the polypeptides encoded by the nucleotide sequences.US Patent Number: 7 375 202US Patent Number: 7 785 775US Patent Number: 8 361 708PRC Patent Number: ZL200480007683.8HIGH-THROUGHPUT DIAGNOSTIC ASSAY FOR THE HUMAN VIRUS CAUSING SEVERE ACUTE RESPIRATORY SYNDROME (SARS)The present invention relates to a high-throughput diagnostic assay for the virus causing Severe Acute Respiratory Syndrome (SARS) in humans ( hSARS virus ). In particular  the invention relates to a high-throughput reverse transcription-PCR diagnostic test for SARS associated coronavirus (SARS-CoV). The present assay is a rapid  reliable assay which can be used for diagnosis and monitoring the spread of SARS and is based on the nucleotide sequences of the N (nucleocapsid)-gene of the hSARS virus. The present method eliminates false negative results and provides increased sensitivity for the assay. The invention also discloses the S (spike)-gene of the hSARS virus. The invention further relates to the deduced amino acid sequences of the N-gene and S-gene products of the hSARS virus and to the use of the N-gene and S-gene products in diagnostic methods. The invention further encompasses diagnostic assays and kits comprising antibodies generated against the N-gene or S-gene product.US Patent Number: 7 547 512PRC Patent Number: ZL200480007680.4METHODS OF USING TRANSFORMED PLANTS EXPRESSING PLANT-DERIVED ACYL-COENZYME-A-BINDING PROTEINS IN PHYTOREMEDIATIONMethods of using genetically-transformed plants in the phytoremediation of lead are described. Unlike many organisms in which only 10-kDa ACBPs have been identified  there exists a family of six ACBPs in the model plant Arabidopsis. Other than a function in mediating the transfer of acyl-CoA esters in plant lipid metabolism  all six Arabidopsis ACBPs can bind the heavy metal lead and are therefore applicable for phytoremediation. These methods of phytoremediation will provide a cheap  simple and efficient method in the removal of contaminating lead from soil/water/environment by the growth of the ACBP-overexpressing genetically-transformed plants in the contaminated environment. There is also provided a method to remove lead from contaminated water.US Patent Number: 7 880 053PRC Patent Number: ZL200810142835.5METHODS USING ACYL-COA BINDING PROTEINS TO ENHANCE LOW-TEMPERATURE TOLERANCE IN GENETICALLY MODIFIED PLANTSNew!ACBP6 can be used to enhance low temperature tolerance in genetically modified plants. An acbp6 T-DNA insertional mutant that lacked ACBP6 mRNA and protein  displayed increased sensitivity to freezing temperature (-8.degree. C.)  while ACBP6-overexpressing transgenic Arabidopsis were conferred enhanced freezing tolerance. Methods of using ACBP6 to enhance low temperature tolerance of plants are provided.US Patent Number: 8 378 172,
Faculty of Science,School of Biological Sciences,RECOMBINANT BACILLUS PHYTASES AND USES THEREOFIn this invention  two phytase genes from two generally-regarded-as-safe microorganisms  Bacillus licheniformis and Bacillus subtilis 168  were cloned and characterized. A process for phytase enzyme over-expression and purification was also developed. The enzymes have molecular weight of about 48 kilodaltons and showed extracellular phytate-hydrolyzing activities. The recombinant enzyme can be used to enhance phytase utilization in various commercial areas  including preparation of animal feed and transgenic plants that have increased growth rates for maturity  flowering and fruiting.US Patent Number: 7 339 091PRC Patent Number: ZL02827413.X,
Faculty of Science,School of Biological Sciences,HUMAN VIRUS CAUSING SEVERE ACUTE RESPIRATORY SYNDROME (SARS) AND USES THEREOFNew!The present invention relates to an isolated novel virus causing Severe Acute Respiratory Syndrome (SARS) in humans ( hSARS virus ). The hSARS virus is identified to be morphologically and phylogenetically similar to known member of Coronaviridae. The present invention provides the complete genomic sequence of the hSARS virus. Furthermore  the invention provides the nucleic acids and peptides encoded by and/or derived from the hSARS virus and their use in diagnostic methods and therapeutic methods  including vaccines. In addition  the invention provides chimeric or recombinant viruses encoded by said nucleotide sequences and antibodies immunospecific to the polypeptides encoded by the nucleotide sequences.US Patent Number: 7 375 202US Patent Number: 7 785 775US Patent Number: 8 361 708PRC Patent Number: ZL200480007683.8HIGH-THROUGHPUT DIAGNOSTIC ASSAY FOR THE HUMAN VIRUS CAUSING SEVERE ACUTE RESPIRATORY SYNDROME (SARS)The present invention relates to a high-throughput diagnostic assay for the virus causing Severe Acute Respiratory Syndrome (SARS) in humans ( hSARS virus ). In particular  the invention relates to a high-throughput reverse transcription-PCR diagnostic test for SARS associated coronavirus (SARS-CoV). The present assay is a rapid  reliable assay which can be used for diagnosis and monitoring the spread of SARS and is based on the nucleotide sequences of the N (nucleocapsid)-gene of the hSARS virus. The present method eliminates false negative results and provides increased sensitivity for the assay. The invention also discloses the S (spike)-gene of the hSARS virus. The invention further relates to the deduced amino acid sequences of the N-gene and S-gene products of the hSARS virus and to the use of the N-gene and S-gene products in diagnostic methods. The invention further encompasses diagnostic assays and kits comprising antibodies generated against the N-gene or S-gene product.US Patent Number: 7 547 512PRC Patent Number: ZL200480007680.4METHODS OF USING TRANSFORMED PLANTS EXPRESSING PLANT-DERIVED ACYL-COENZYME-A-BINDING PROTEINS IN PHYTOREMEDIATIONMethods of using genetically-transformed plants in the phytoremediation of lead are described. Unlike many organisms in which only 10-kDa ACBPs have been identified  there exists a family of six ACBPs in the model plant Arabidopsis. Other than a function in mediating the transfer of acyl-CoA esters in plant lipid metabolism  all six Arabidopsis ACBPs can bind the heavy metal lead and are therefore applicable for phytoremediation. These methods of phytoremediation will provide a cheap  simple and efficient method in the removal of contaminating lead from soil/water/environment by the growth of the ACBP-overexpressing genetically-transformed plants in the contaminated environment. There is also provided a method to remove lead from contaminated water.US Patent Number: 7 880 053PRC Patent Number: ZL200810142835.5METHODS USING ACYL-COA BINDING PROTEINS TO ENHANCE LOW-TEMPERATURE TOLERANCE IN GENETICALLY MODIFIED PLANTSNew!ACBP6 can be used to enhance low temperature tolerance in genetically modified plants. An acbp6 T-DNA insertional mutant that lacked ACBP6 mRNA and protein  displayed increased sensitivity to freezing temperature (-8.degree. C.)  while ACBP6-overexpressing transgenic Arabidopsis were conferred enhanced freezing tolerance. Methods of using ACBP6 to enhance low temperature tolerance of plants are provided.US Patent Number: 8 378 172,

Faculty of Medicine,AIDS Institute,ANTI-IGF-IR ANTIBODIES AND USES THEREOFNew!The subject invention provides antibodies  or binding fragments thereof  that specifically bind to human IGF-IR. Also provided are nucleic acid molecules encoding the antibodies and binding fragments of the subject invention and vectors and host cells containing these nucleic acid molecules. The disclosure also provides methods of inhibiting cancer cell growth and metastasis in a mammal using the antibodies described herein  as well as compositions containing the antibodies  nucleic acid molecules encoding the antibodies  and host cells and vectors comprising the nucleic acid molecules. The disclosure also features the use of the polypeptides to detect the presence of IGF-IR in a mammal  and epitopes that can be used as cancer vaccine immunogens.US Patent Number: 8 444 982PRC Patent Number: ZL201080054710.2EP Patent Number: 2507263SOLUBLE PD-1 VARIANTS  FUSION CONSTRUCTS  AND USES THEREOFNew!The subject invention provides novel soluble PD-1 (sPD-1) proteins  nucleic acids  and fusion constructs thereof  for enhancing humoral and cell-mediated immunity of a subject. Also provided are therapeutic compositions comprising the sPD-1 proteins  nucleic acids  and fusion constructs of the subject invention. In a preferred embodiment  the therapeutic composition is formulated as a vaccine composition. Advantageously  the sPD-1 proteins  nucleic acids  and therapeutic compositions provide protective immunity against pathogenic infection including HIV infection. In additon  the subject invention can be used in the prevention and/or treatment of tumor or cancer.US Patent Number: 9 029 315,
Faculty of Medicine,Clinical Oncology,USE OF ANNEXIN A3 AS A DIAGNOSTIC AND PROGNOSTIC BIOMARKER AND THERAPEUTIC TARGET FOR TREATING HEPATOCELLULAR CARCINOMANew!Annexin A3 (ANAX3) is utilized as a biomarker for the diagnosis and prognosis of hepatocellular carcinoma (HCC) and the utilization of a monoclonal antibody against ANXA3 or antisense polynucleotide against ANXA3 mRNA for the suppression or treatment of HCC  alone or in combination with other HCC treatment. Monoclonal antibody against ANXA3 can be administered for the suppression of tumor growth  metastasis  and chemoresistance.US Patent Number: 9 487 831,
Faculty of Medicine,Institute of Molecular Biology,SYNTHETIC PEPTIDE TARGETING CRITICAL SITES ON THE SARS-ASSOCIATED CORONAVIRUS SPIKE PROTEIN RESPONSIBLE FOR VIRAL INFECTION AND A METHOD OF USE THEREOFThe present invention provides methods for locating critical portions or sites on the spike protein (S protein) of SARS-associated coronavirus (SARS-CoV) responsible for the viral infection that causes Severe Acute Respiratory Syndrome (SARS). The present invention also provides new synthetic peptides targeting such critical portions or sites of the S protein of SARS-CoV for preventing or treating of SARS-CoV infection in a subject. The present invention further provides methods of testing antiviral activity exerted by antiviral agents using real-time quantitative PCR.US Patent Number: 7 491 489PRC Patent Number: ZL200510131580.9,
Faculty of Medicine,Institute of Molecular Biology,SYNTHETIC PEPTIDE TARGETING CRITICAL SITES ON THE SARS-ASSOCIATED CORONAVIRUS SPIKE PROTEIN RESPONSIBLE FOR VIRAL INFECTION AND A METHOD OF USE THEREOFThe present invention provides methods for locating critical portions or sites on the spike protein (S protein) of SARS-associated coronavirus (SARS-CoV) responsible for the viral infection that causes Severe Acute Respiratory Syndrome (SARS). The present invention also provides new synthetic peptides targeting such critical portions or sites of the S protein of SARS-CoV for preventing or treating of SARS-CoV infection in a subject. The present invention further provides methods of testing antiviral activity exerted by antiviral agents using real-time quantitative PCR.US Patent Number: 7 491 489PRC Patent Number: ZL200510131580.9,

Faculty of Medicine,Medicine,METHOD FOR INHIBITING CANCER USING ARSENIC TRIOXIDENew!The invention provides a method for treating cancers that are dependent on cyclin D1 for proliferation  survival  metastasis and differentiation  involving administering a composition containing an effective amount of arsenic trioxide to an affected patient. The arsenic trioxide can be administered orally  for example  as a solution  suspension  syrup  emulsion  tablet  or capsule. The composition can also contain one or more pharmaceutically acceptable carriers and/or excipients.US Patent Number: 8 906 422USE OF LIPOCALIN-2 AS A DIAGNOSTIC MARKER AND THERAPEUTIC TARGETNew!Methods and compositions for identifying and treating obesity and obesity-induced metabolic disorders are provided. One aspect provides a method for the evaluation of risk and progression of glucose tolerance  insulin resistance and Type 2 diabetes in mammalian subjects. The method includes measuring the concentration of circulating lipocalin-2 in a subject and comparing the measured level to lipocalin-2 to a reference level. Another aspect provides methods of treating insulin resistance  type 2 diabetes and other related complications by administering to a patient a composition that can reduce the circulating levels of lipocalin-2  for example a lipocalin-2 antagonist.US Patent Number: 7 645 616US Patent Number: 8 481 032USE OF ACACETIN AND RELATED COMPOUNDS AS POTASSIUM CHANNEL INHIBITORSNew!This invention provides a method for treating or preventing human atrial arrhythmia (fibrillation) using the leading flavone compound acacetin  and its derivatives and analogues that inhibit the ultra-rapidly-activating delayed rectifier potassium current (I.sub.Kur or I.sub.Ksus)  transient outward potassium (I.sub.to)  and acetylcholine-activated potassium current (I.sub.K.ACh).US Patent Number: 8 461 198HUMAN CATECHOL-O-METHYLTRANSFERASE (COMT) ASSAYNew!Disclosed is an assay (method) to quantify the amounts of catecholamine-O-methyltransferase (COMT) protein in samples  such as extracts from cell cultures  body fluids  tissues  and environmental samples. It uses novel agents (anti-NE  COMT-NE  or COMT-epitope-NE) in combination with two previously described agents (anti-COMT and COMT) in a competitive ELISA system to achieve this aim.US Patent Number: 8 927 225EP Patent Number: 2328909,
Faculty of Medicine,Medicine,PROCOLLAGEN IIA DEFICIENT MICEThis invention relates to the production of dual models of Congenital Heart Defects and Hypertrophic Cardiomyopathy with the use of mice which are genetically modified by transgenic (gene-knockout) techniques. The present invention produces knockout mice that show multiple cardiovascular malformations which will serve as a model of cardiovascular diseases for the screening of potential drugs against ventricular remodeling  malignant arrhythmias  primary pulmonary hypertension  and degenerative valvular diseases  and congenital heart disease.US Patent Number: 7 645 917UK Patent Number: GB2431657SERUM BIOMARKERS OF HEPATITIS B VIRUS-INFECTED LIVER & METHODS FOR DETECTION THEREOFThe invention provides a method for detecting the presence of altered serum proteins in an Hepatitis B Virus (HBV)-infected patient with liver inflammation  comprising: obtaining a sample of serum from the patient; subjecting the sample to protein gel electrophoresis to separate proteins contained therein; staining proteins separated on the electrophoresis gel with silver nitrate solution; scanning the images of stained proteins into an image analysis scanner to obtain gel images; comparing the gel images to control samples of electrophoresis gels prepared from serum of normal patient and serum of HBV-infected patient with liver inflammation to determine whether the sample of serum from the patient contains specific serum proteins. This invention also provides serum protein biomarkers for the diagnosis of patients with HBV infection and liver inflammation.US Patent Number: 7 257 365DI(AMINO-SUBSTITUTED)HETEROARENE COMPOUNDS AS OSTEOBLASTOGENESIS AGENTSThe present invention relates to di(amido-substituted)-heteroarene compounds and their use as osteoblastogenesis agents. The invention provides a method for inducing osteogenesis in a precursor cell capable of undergoing osteogenesis.US Patent Number: 7 541 379FORMULATION OF ORAL COMPOSITIONS COMPRISING ARSENIC TRIOXIDE AND METHODS OF USE THEREOFThe present invention provides an oral formulation of arsenic trioxide (As.sub.2O.sub.3) for the treatment of a variety of hematological malignancies  including acute myeloid leukemia (AML) and acute promyelocytic leukemia (APL). The present invention also provides methods for making the oral arsenic trioxide formulation. Methods of using the oral arsenic trioxide formulation are also described.US Patent Number: 7 521 071EP Patent Number: 1562616,
Faculty of Medicine,Medicine,METHOD FOR INHIBITING CANCER USING ARSENIC TRIOXIDENew!The invention provides a method for treating cancers that are dependent on cyclin D1 for proliferation  survival  metastasis and differentiation  involving administering a composition containing an effective amount of arsenic trioxide to an affected patient. The arsenic trioxide can be administered orally  for example  as a solution  suspension  syrup  emulsion  tablet  or capsule. The composition can also contain one or more pharmaceutically acceptable carriers and/or excipients.US Patent Number: 8 906 422USE OF LIPOCALIN-2 AS A DIAGNOSTIC MARKER AND THERAPEUTIC TARGETNew!Methods and compositions for identifying and treating obesity and obesity-induced metabolic disorders are provided. One aspect provides a method for the evaluation of risk and progression of glucose tolerance  insulin resistance and Type 2 diabetes in mammalian subjects. The method includes measuring the concentration of circulating lipocalin-2 in a subject and comparing the measured level to lipocalin-2 to a reference level. Another aspect provides methods of treating insulin resistance  type 2 diabetes and other related complications by administering to a patient a composition that can reduce the circulating levels of lipocalin-2  for example a lipocalin-2 antagonist.US Patent Number: 7 645 616US Patent Number: 8 481 032USE OF ACACETIN AND RELATED COMPOUNDS AS POTASSIUM CHANNEL INHIBITORSNew!This invention provides a method for treating or preventing human atrial arrhythmia (fibrillation) using the leading flavone compound acacetin  and its derivatives and analogues that inhibit the ultra-rapidly-activating delayed rectifier potassium current (I.sub.Kur or I.sub.Ksus)  transient outward potassium (I.sub.to)  and acetylcholine-activated potassium current (I.sub.K.ACh).US Patent Number: 8 461 198HUMAN CATECHOL-O-METHYLTRANSFERASE (COMT) ASSAYNew!Disclosed is an assay (method) to quantify the amounts of catecholamine-O-methyltransferase (COMT) protein in samples  such as extracts from cell cultures  body fluids  tissues  and environmental samples. It uses novel agents (anti-NE  COMT-NE  or COMT-epitope-NE) in combination with two previously described agents (anti-COMT and COMT) in a competitive ELISA system to achieve this aim.US Patent Number: 8 927 225EP Patent Number: 2328909,

Faculty of Medicine,Microbiology,INHIBITION OF SARS-ASSOCIATED CORONAVIRUS (SCoV) INFECTION AND REPLICATION BY RNA INTERFERENCEThe present invention relates to therapeutic agents useful for the treatment of Severe Acute Respiratory Syndrome (SARS) in humans. In particular  the present invention relates to RNA interference (RNAi) molecules useful for inhibiting the infection and replication of hSARS virus. Preferably  the RNAi molecules target the replicase region of the hSARS virus  or combinations of different sites of hSARS virus genes. The present invention further encompasses methods of using the RNAi molecules for preventing and/or treating SARS. Vaccines and kits comprising therapeutically effective amounts of the RNAi molecules are also encompassed.US Patent Number: 7 129 223US Patent Number: 7 429 656ISOLATION AND CHARACTERIZATION OF THE PRECURSOR VIRUS OF HUMAN SARS VIRUS: SARS-ASSOCIATED CORONAVIRUS-LIKE VIRUSThe present invention relates to isolation and characterization of a class of isolated novel viruses which is the precursor of the virus causing Severe Acute Respiratory Syndrome (SARS) in humans ( hSARS virus ). The precursor virus which is a SARS coronavirus-like virus ( SCoV-like virus ) is identified to be morphologically and phylogenetically similar to hSARS virus. The present invention relates to a nucleotide sequence comprising the genomic sequence of the SCoV-like virus. The invention further relates to nucleotide sequences comprising a portion of the genomic sequence of the SCoV-like virus. The invention also relates to the deduced amino acid sequences of the SCoV-like virus. The invention further relates to the nucleic acids and peptides encoded by and/or derived from these sequences and their use in diagnostic methods and therapeutic methods. The invention further encompasses chimeric or recombinant viruses encoded by said nucleotide sequences and antibodies directed against polypeptides encoded by the nucleotide sequences. Furthermore  the invention relates to vaccine preparations comprising the SCoV-like virus  including recombinant and chimeric forms of said virus.US Patent Number: 7 361 747BAICALIN AS A TREATMENT FOR SARS INFECTIONThe present invention relates to a pharmaceutical composition useful for the treatment of diseases associated with viruses of the order Nidovirales of the family Coronaviradae  such as Severe Acute Respiratory Syndrome (SARS) viruses in humans and other animals. In particular  this invention relates to a naturally occurring compound  namely  baicalin  extracted and purified from the Chinese medicinal plant Scutellaria baicalensis Georgi (Chinese name: Huang Qin)  that exhibits potent antiviral activity against members of the order Nidovirales of the family Coronaviradae that infects humans and other animals; in particular  SARS viruses in humans ( hSARS virus ). The invention also relates to a therapeutic method  using pharmaceutical compositions comprising baicalin compounds  for the treatment  amelioration  management or prevention of diseases associated with members of the order Nidovirales of the family Coronaviradae  such as hSARS.US Patent Number: 7 605 135HUMAN VIRUS CAUSING SEVERE ACUTE RESPIRATORY SYNDROME (SARS) AND USES THEREOFNew!The present invention relates to an isolated novel virus causing Severe Acute Respiratory Syndrome (SARS) in humans ( hSARS virus ). The hSARS virus is identified to be morphologically and phylogenetically similar to known member of Coronaviridae. The present invention provides the complete genomic sequence of the hSARS virus. Furthermore  the invention provides the nucleic acids and peptides encoded by and/or derived from the hSARS virus and their use in diagnostic methods and therapeutic methods  including vaccines. In addition  the invention provides chimeric or recombinant viruses encoded by said nucleotide sequences and antibodies immunospecific to the polypeptides encoded by the nucleotide sequences.US Patent Number: 7 375 202US Patent Number: 7 785 775US Patent Number: 8 361 708PRC Patent Number: ZL200480007683.8,
Faculty of Medicine,Microbiology,INHIBITION OF SARS-ASSOCIATED CORONAVIRUS (SCoV) INFECTION AND REPLICATION BY RNA INTERFERENCEThe present invention relates to therapeutic agents useful for the treatment of Severe Acute Respiratory Syndrome (SARS) in humans. In particular  the present invention relates to RNA interference (RNAi) molecules useful for inhibiting the infection and replication of hSARS virus. Preferably  the RNAi molecules target the replicase region of the hSARS virus  or combinations of different sites of hSARS virus genes. The present invention further encompasses methods of using the RNAi molecules for preventing and/or treating SARS. Vaccines and kits comprising therapeutically effective amounts of the RNAi molecules are also encompassed.US Patent Number: 7 129 223US Patent Number: 7 429 656ISOLATION AND CHARACTERIZATION OF THE PRECURSOR VIRUS OF HUMAN SARS VIRUS: SARS-ASSOCIATED CORONAVIRUS-LIKE VIRUSThe present invention relates to isolation and characterization of a class of isolated novel viruses which is the precursor of the virus causing Severe Acute Respiratory Syndrome (SARS) in humans ( hSARS virus ). The precursor virus which is a SARS coronavirus-like virus ( SCoV-like virus ) is identified to be morphologically and phylogenetically similar to hSARS virus. The present invention relates to a nucleotide sequence comprising the genomic sequence of the SCoV-like virus. The invention further relates to nucleotide sequences comprising a portion of the genomic sequence of the SCoV-like virus. The invention also relates to the deduced amino acid sequences of the SCoV-like virus. The invention further relates to the nucleic acids and peptides encoded by and/or derived from these sequences and their use in diagnostic methods and therapeutic methods. The invention further encompasses chimeric or recombinant viruses encoded by said nucleotide sequences and antibodies directed against polypeptides encoded by the nucleotide sequences. Furthermore  the invention relates to vaccine preparations comprising the SCoV-like virus  including recombinant and chimeric forms of said virus.US Patent Number: 7 361 747BAICALIN AS A TREATMENT FOR SARS INFECTIONThe present invention relates to a pharmaceutical composition useful for the treatment of diseases associated with viruses of the order Nidovirales of the family Coronaviradae  such as Severe Acute Respiratory Syndrome (SARS) viruses in humans and other animals. In particular  this invention relates to a naturally occurring compound  namely  baicalin  extracted and purified from the Chinese medicinal plant Scutellaria baicalensis Georgi (Chinese name: Huang Qin)  that exhibits potent antiviral activity against members of the order Nidovirales of the family Coronaviradae that infects humans and other animals; in particular  SARS viruses in humans ( hSARS virus ). The invention also relates to a therapeutic method  using pharmaceutical compositions comprising baicalin compounds  for the treatment  amelioration  management or prevention of diseases associated with members of the order Nidovirales of the family Coronaviradae  such as hSARS.US Patent Number: 7 605 135HUMAN VIRUS CAUSING SEVERE ACUTE RESPIRATORY SYNDROME (SARS) AND USES THEREOFNew!The present invention relates to an isolated novel virus causing Severe Acute Respiratory Syndrome (SARS) in humans ( hSARS virus ). The hSARS virus is identified to be morphologically and phylogenetically similar to known member of Coronaviridae. The present invention provides the complete genomic sequence of the hSARS virus. Furthermore  the invention provides the nucleic acids and peptides encoded by and/or derived from the hSARS virus and their use in diagnostic methods and therapeutic methods  including vaccines. In addition  the invention provides chimeric or recombinant viruses encoded by said nucleotide sequences and antibodies immunospecific to the polypeptides encoded by the nucleotide sequences.US Patent Number: 7 375 202US Patent Number: 7 785 775US Patent Number: 8 361 708PRC Patent Number: ZL200480007683.8,
Faculty of Medicine,Microbiology,BIOFUNCTIONAL MAGNETIC NANOPARTICLES FOR PATHOGEN DETECTIONThis invention provides a method of detecting pathogens comprising the steps of: (a) contacting a sufficient amount of biofunctional magnetic nanoparticles with an appropriate sample for an appropriate period of time to permit the formation of complexes between the pathogens in the sample and the nanoparticles; (b) using a magnetic field to aggregate said complexes; and (c) detecting said complexes. The method may further comprise the additional step of removing said complexes. The biofunctional magnetic nanoparticles are preferably a conjugate of vancomycin and FePt. The pathogens may be bacteria or viruses  and the sample may be a solid  liquid  or gas. Detection may involve conventional fluorescence assay  enzyme-linked immunosorbent assay (ELISA)  optical microscope  electron microscope  or a combination thereof. The sensitivity of detection for the method is at least as low as 10 colony forming units (cfu) of the pathogens in one milliliter of solution within one hour.US Patent Number: 7 754 444ANTIVIRAL COMPOUNDS AND METHODS OF MAKING AND USING THEREOFNew!Compounds which exhibit antiviral activity  particularly against influenza virus  and methods of making and using thereof are described herein. In one embodiment  the compounds are heterocyclic amides containing piperazine and isozazole rings and optionally substituted with one or more substituents. The compounds can be formulated with one or more pharmaceutically acceptable excipients to form compositions suitable for enteral or parenteral administration. The compounds are preferably used to treat or prevent Influenza A infections  such as H1N1  H2N2  H3N2  H5N1  H7N7  H1N2  H9N2  H7N2  H7N3  and H10N7.US Patent Number: 9 212 177EP Patent Number: 2462138PRC Patent Number: ZL201080044361.6ANTI-HER2 AND ANTI-IGF-IR BI-SPECIFIC ANTIBODIES AND USES THEREOFNew!Disclosed are antibodies  or binding fragments thereof  that specifically bind to human HER2 and human IGF-IR. Also provided are nucleic acid molecules encoding the disclosed antibodies and binding fragments and vectors and host cells containing these nucleic acid molecules. The disclosure also provides methods of inhibiting cancer cell growth and metastasis in a mammal using the antibodies described herein  as well as compositions containing the antibodies  nucleic acid molecules encoding the antibodies  and host cells and vectors comprising the nucleic acid molecules. The disclosure also features the use of the polypeptides to detect the presence of HER2 and IGF-IR in a mammal  and epitopes that can be used as cancer vaccine immunogens.US Patent Number: 9 481 729ANTI-INFLUENZA COMPOUNDSNew!The present invention provides pyrimidinyl compounds of formula (I) and pharmaceutically acceptable salts thereof. These compounds may be used for the inhibition of influenza. In particular  the compounds of the invention may be used for the treatment or prophylaxis of influenza A  most particularly H1N1 or H5N1 influenza. The compounds of the invention can also be used for the treatment or prophylaxis of a disease caused by Vibrio cholerae  Clostridium perfringens  Streptococcus pneumoniae  Arthrobacter sialophilus  an orthomyxovirus  a paramyxovirus  a parainfluenza virus  mumps virus  Newcastle disease virus  fowl plague virus or Sendai virus. ##STR00001##US Patent Number: 8 673 884,
